scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
amanita muscaria,"fly agaric,fly amanita",gills,"convex, flat",free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_muscaria
psilocybe cubensis,"magic mushroom,shroom,golden halo,golden teacher,cube,gold cap,stropharia cubensis",gills,"convex, flat","adnate, adnexed",ring,purple,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_cubensis
lentinula edodes,"shiitake,chinquapin,chinese/black forest mushrooms",gills,convex,free,bare,"white, buff",saprotrophic,choice,https://en.wikipedia.org/wiki/Shiitake
amanita phalloides,death cap,gills,"convex, flat",free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_phalloides
cantharellus,chanterelles,ridges,infundibuliform,decurrent,bare,yellow,mycorrhizal,"choice, edible",https://en.wikipedia.org/wiki/Cantharellus
omphalotus olearius,jack-o'-lantern mushroom,gills,infundibuliform,decurrent,bare,yellow,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Omphalotus_olearius
gyromitra esculenta,none,smooth,convex,none,bare,"yellow, buff","saprotrophic, mycorrhizal","deadly, choice",https://en.wikipedia.org/wiki/Gyromitra_esculenta
agaricus bisporus,"cultivated mushroom,chestnut,portobello,portabellini,button,champignon de paris",gills,convex,free,ring,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_bisporus
boletus edulis,"cep,penny bun,porcino,porcini",pores,convex,adnate,bare,brown,mycorrhizal,choice,https://en.wikipedia.org/wiki/Boletus_edulis
amanita pantherina,"panther cap,false blusher,panther amanita",gills,flat,free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_pantherina
tricholoma matsutake,matsutake,gills,convex,adnexed,ring,white,mycorrhizal,choice,https://en.wikipedia.org/wiki/Matsutake
psilocybe semilanceata,liberty cap,gills,"conical, umbonate","adnate, adnexed",bare,"brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_semilanceata
psilocybe cyanescens,"wavy cap,potent psilocybe",gills,umbonate,"adnate, subdecurrent",bare,"blackish-brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_cyanescens
armillaria mellea,honey fungus,gills,"convex, flat","adnate, subdecurrent",ring,white,parasitic,"edible, allergic",https://en.wikipedia.org/wiki/Armillaria_mellea
lingzhi,"ganoderma sichuanense,reishi",pores,offset,none,bare,brown,"saprotrophic, parasitic",unpalatable,https://en.wikipedia.org/wiki/Lingzhi_(mushroom)
cerioporus squamosus,"dryad's saddle,pheasant's back mushroom",pores,"depressed, offset",decurrent,bare,white,"saprotrophic, parasitic","edible, inedible",https://en.wikipedia.org/wiki/Cerioporus_squamosus
artomyces pyxidatus,"crown coral,crown-tipped coral fungus",smooth,none,none,none,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Artomyces_pyxidatus
amanita virosa,"destroying angel,european destroying angel",gills,"convex, flat",free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_virosa
cantharellus cibarius,"golden chanterelle,girolle",ridges,infundibuliform,decurrent,bare,"yellow, cream",mycorrhizal,choice,https://en.wikipedia.org/wiki/Cantharellus_cibarius
morchella esculenta,"common morel,morel,yellow morel,true morel,morel mushroom,sponge morel",smooth,"conical, ovate",none,bare,"cream, yellow","mycorrhizal, saprotrophic",choice,https://en.wikipedia.org/wiki/Morchella_esculenta
omphalotus illudens,eastern jack-o'lantern mushroom,gills,infundibuliform,decurrent,bare,yellow,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Omphalotus_illudens
amanita fulva,"tawny grisette,orange-brown ringless amanita",gills,umbonate,free,volva,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Amanita_fulva
amanita porphyria,"grey veiled amanita,porphyry amanita",gills,convex,free,"ring,volva",white,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Amanita_porphyria
tremella fuciformis,"snow fungus,snow ear,silver ear fungus,white jelly mushroom,white cloud ears",smooth,none,none,none,white,parasitic,choice,https://en.wikipedia.org/wiki/Tremella_fuciformis
aleuria aurantia,orange peel fungus,smooth,none,none,none,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Aleuria_aurantia
fistulina hepatica,"beefsteak fungus,beefsteak polypore,poor man’s steak,ox tongue,tongue mushroom",pores,"flat, offset",decurrent,bare,pink,parasitic,choice,https://en.wikipedia.org/wiki/Fistulina_hepatica
fomitopsis betulina,"piptoporus betulinus,birch polypore,birch bracket,razor strop",pores,none,decurrent,none,white,parasitic,inedible,https://en.wikipedia.org/wiki/Fomitopsis_betulina
agaricus xanthodermus,"yellow-staining agaricus,yellow-staining mushroom,yellow-stainer",gills,convex,free,ring,brown,saprotrophic,"not recommended, poisonous",https://en.wikipedia.org/wiki/Agaricus_xanthodermus
chlorophyllum rhacodes,"shaggy parasol,c. olivieri,c. brunneum",gills,"umbonate, convex",free,ring,white,saprotrophic,"edible, not recommended",https://en.wikipedia.org/wiki/Shaggy_parasol
scleroderma citrinum,"common earthball,pigskin poison puffball,common earth ball",glebal,none,none,none,purple-black,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Scleroderma_citrinum
pleurotus ostreatus,"oyster mushroom,oyster fungus,hiratake,pearl oyster mushroom",gills,offset,decurrent,bare,white,"saprotrophic, parasitic",choice,https://en.wikipedia.org/wiki/Pleurotus_ostreatus
psilocybe mexicana,none,gills,"conical, umbonate",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_mexicana
psilocybe tampanensis,none,gills,"convex, flat",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_tampanensis
psilocybe azurescens,none,gills,"convex, umbonate","adnate, sinuate",bare,"blackish-brown, purple",saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_azurescens
craterellus cornucopioides,"horn of plenty,black chanterelle,black trumpet,trompette de la mort,trompeta de la mort,trumpet of the dead",ridges,infundibuliform,decurrent,bare,"cream, buff",mycorrhizal,choice,https://en.wikipedia.org/wiki/Craterellus_cornucopioides
laetiporus sulphureus,"sulphur polypore,sulphur shelf,chicken-of-the-woods",pores,flat,none,none,white,"saprotrophic, parasitic",choice,https://en.wikipedia.org/wiki/Laetiporus_sulphureus
calvatia gigantea,giant puffball,glebal,none,none,none,brown,saprotrophic,"choice, inedible",https://en.wikipedia.org/wiki/Calvatia_gigantea
agaricus subrufescens,"agaricus blazei,agaricus brasiliensis,agaricus rufotegulis,almond mushroom,almond agaricus,mushroom of the sun,god's mushroom,mushroom of life,royal sun agaricus,jisongrong,himematsutake,princess matsutake",gills,convex,free,ring,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_subrufescens
amanita caesarea,caesar's mushroom,gills,convex,free,"ring,volva",white,mycorrhizal,"choice, not recommended",https://en.wikipedia.org/wiki/Amanita_caesarea
amanita rubescens,"blusher,a. rubescens,blushing amanita,a. novinupta,new bride blushing amanita,blushing bride",gills,flat,free,ring,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Blusher
panaeolus cinctulus,"panaeolus subbalteatus,banded mottlegill,weed panaeolus,belted panaeolus,subbs",gills,"campanulate, convex","adnate, adnexed",bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_cinctulus
lycoperdon perlatum,"common puffball,warted puffball,gem-studded puffball,devil's snuff-box",glebal,convex,none,bare,brown,saprotrophic,"choice, inedible",https://en.wikipedia.org/wiki/Lycoperdon_perlatum
cortinarius rubellus,deadly webcap,gills,"conical, convex",adnate,bare,"cream, yellow",mycorrhizal,deadly,https://en.wikipedia.org/wiki/Cortinarius_rubellus
hypholoma capnoides,none,gills,convex,adnate,ring,purple-brown,saprotrophic,not recommended,https://en.wikipedia.org/wiki/Hypholoma_capnoides
hypholoma fasciculare,"sulphur tuft,clustered woodlover",gills,convex,adnate,ring,purple-brown,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Hypholoma_fasciculare
hypholoma lateritium,"brick cap,chestnut mushroom,cinnamon cap,brick top,red woodlover,kuritake",gills,convex,adnate,bare,purple-brown,saprotrophic,"choice, not recommended",https://en.wikipedia.org/wiki/Hypholoma_lateritium
lactarius deterrimus,"false saffron milkcap,orange milkcap",gills,"depressed, convex",decurrent,bare,tan,mycorrhizal,edible,https://en.wikipedia.org/wiki/Lactarius_deterrimus
lactarius deliciosus,"delicious milk cap,saffron milk cap,red pine mushroom",gills,depressed,decurrent,bare,tan,mycorrhizal,choice,https://en.wikipedia.org/wiki/Lactarius_deliciosus
ganoderma lucidum,"reishi,varnished conk,ling chih",pores,offset,none,bare,brown,parasitic,unpalatable,https://en.wikipedia.org/wiki/Ganoderma_lucidum
tremella mesenterica,"yellow brain,golden jelly fungus,yellow trembler,witches' butter",smooth,none,none,none,"white, yellow",parasitic,edible,https://en.wikipedia.org/wiki/Tremella_mesenterica
leccinum scabrum,"rough-stemmed bolete,scaber stalk,birch bolete",pores,convex,adnate,bare,olive,mycorrhizal,edible,https://en.wikipedia.org/wiki/Leccinum_scabrum
hydnum repandum,"sweet tooth,pig's trotter,wood hedgehog,hedgehog mushroom",teeth,depressed,decurrent,bare,"white, cream",mycorrhizal,choice,https://en.wikipedia.org/wiki/Hydnum_repandum
pleurotus eryngii,"king trumpet mushroom,french horn mushroom,eryngi,king oyster mushroom,king brown mushroom,boletus of the steppes,trumpet royale,aliʻi oyster",gills,"depressed, offset",decurrent,bare,white,saprotrophic,choice,https://en.wikipedia.org/wiki/Pleurotus_eryngii
volvariella volvacea,"paddy straw mushroom,straw mushroom",gills,"conical, umbonate",free,volva,salmon,saprotrophic,choice,https://en.wikipedia.org/wiki/Volvariella_volvacea
russula emetica,"the sickener,emetic russula,vomiting russula",gills,"convex, flat","adnate, free",bare,white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Russula_emetica
russula xerampelina,"shrimp russula,crab brittlegill,shrimp mushroom",gills,"convex, flat",free,bare,ochre,mycorrhizal,choice,https://en.wikipedia.org/wiki/Russula_xerampelina
russula vesca,"bare-toothed russula,the flirt",gills,"convex, flat",free,bare,white,mycorrhizal,edible,https://en.wikipedia.org/wiki/Russula_vesca
russula nobilis,"russula mairei,beechwood sickener",gills,convex,free,bare,white,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Russula_nobilis
russula ochroleuca,"brittlegills,common yellow russula,ochre brittlegill",gills,convex,"free, adnexed",bare,white,mycorrhizal,unpalatable,https://en.wikipedia.org/wiki/Russula_ochroleuca
suillus luteus,"slippery jack,sticky bun",pores,convex,"adnate, subdecurrent",ring,brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Suillus_luteus
russula virescens,"green-cracking russula,quilted green russula,green brittlegill",gills,"convex, flat",adnate,bare,"white, yellow",mycorrhizal,choice,https://en.wikipedia.org/wiki/Russula_virescens
laccaria laccata,"deceiver,lackluster laccaria,waxy laccaria",gills,"convex, flat","adnate, decurrent",bare,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Laccaria_laccata
sparassis crispa,cauliflower fungus,smooth,none,none,bare,"white, cream",saprotrophic,choice,https://en.wikipedia.org/wiki/Sparassis_crispa
fomitopsis pinicola,red-belted conk,pores,none,decurrent,none,yellow,saprotrophic,inedible,https://en.wikipedia.org/wiki/Fomitopsis_pinicola
trametes versicolor,turkey tail,pores,offset,decurrent,none,"white, yellow",saprotrophic,too hard to eat,https://en.wikipedia.org/wiki/Trametes_versicolor
amanita citrina,"false death cap,citron amanita",gills,flat,free,"ring,volva",white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_citrina
coprinus comatus,"shaggy ink cap,lawyer's wig,shaggy mane",gills,conical,free,ring,black,saprotrophic,choice,https://en.wikipedia.org/wiki/Coprinus_comatus
psilocybe quebecensis,none,gills,"convex, conical","adnate, sinuate",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_quebecensis
macrolepiota procera,parasol mushroom,gills,umbonate,free,ring,white,saprotrophic,choice,https://en.wikipedia.org/wiki/Macrolepiota_procera
scleroderma cepa,"smooth earthball,onion earthball",glebal,none,none,none,"white, purple-black",mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Scleroderma_cepa
laccaria bicolor,none,gills,"convex, depressed",adnate,bare,white,mycorrhizal,edible,https://en.wikipedia.org/wiki/Laccaria_bicolor
rubroboletus satanas,"satan's bolete,devil's bolete,boletus satanas",pores,convex,adnate,bare,olive-brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Rubroboletus_satanas
coprinopsis cinerea,gray shag,gills,conical,free,bare,black,saprotrophic,edible,https://en.wikipedia.org/wiki/Coprinopsis_cinerea
panaeolus tropicalis,none,gills,"convex, campanulate",adnexed,bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_tropicalis
amanita gemmata,"gemmed amanita,jonquil amanita",gills,"convex, flat","adnate, adnexed",ring,white,mycorrhizal,"poisonous, psychoactive",https://en.wikipedia.org/wiki/Amanita_gemmata
clitocybe odora,"blue green anise mushroom,aniseed toadstool",gills,flat,decurrent,bare,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Clitocybe_odora
collybia nuda,"blewit,wood blewit,lepista nuda,clitocybe nuda",gills,"convex, umbonate",emarginate,bare,buff,saprotrophic,choice,https://en.wikipedia.org/wiki/Collybia_nuda
inosperma erubescens,"i. patouillardii,deadly fibrecap,brick-red tear mushroom,red-staining inocybe",gills,"campanulate, conical",adnate,bare,brown,mycorrhizal,"poisonous, deadly",https://en.wikipedia.org/wiki/Inosperma_erubescens
calocybe gambosa,st. george's mushroom,gills,convex,sinuate,bare,white,"mycorrhizal, saprotrophic",choice,https://en.wikipedia.org/wiki/Calocybe_gambosa
russula cyanoxantha,"charcoal burner,variegated russula",gills,"flat, convex",adnate,bare,white,mycorrhizal,choice,https://en.wikipedia.org/wiki/Russula_cyanoxantha
hericium erinaceus,"lion's mane,yamabushitake,bearded tooth fungus,bearded hedgehog",teeth,none,none,none,white,saprotrophic,choice,https://en.wikipedia.org/wiki/Hericium_erinaceus
helvella crispa,"fluted white elfin saddle,white saddle,elfin saddle,common helvel",smooth,convex,none,bare,white,"saprotrophic, mycorrhizal","not recommended, inedible",https://en.wikipedia.org/wiki/Helvella_crispa
ganoderma applanatum,"artist's bracket,artist's conk,artist's fungus,bear bread",pores,none,decurrent,none,brown,parasitic,inedible,https://en.wikipedia.org/wiki/Ganoderma_applanatum
russula amethystina,none,gills,flat,free,bare,white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Russula_amethystina
pluteus cervinus,"deer shield,deer mushroom,fawn mushroom",gills,"flat, umbonate",free,bare,"salmon, reddish-brown",saprotrophic,edible,https://en.wikipedia.org/wiki/Pluteus_cervinus
pluteus,none,gills,"flat, convex",free,bare,pink,saprotrophic,"edible, psychoactive",https://en.wikipedia.org/wiki/Pluteus
agaricus impudicus,tufted wood mushroom,gills,convex,free,ring,brown,saprotrophic,not recommended,https://en.wikipedia.org/wiki/Agaricus_impudicus
lycoperdon umbrinum,umber-brown puffball,glebal,none,none,none,olive,saprotrophic,edible,https://en.wikipedia.org/wiki/Lycoperdon_umbrinum
lactarius controversus,poplar milkcap,gills,depressed,decurrent,bare,white,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Lactarius_controversus
lactifluus vellereus,"lactarius vellereus,fleecy milk-cap",gills,depressed,decurrent,bare,white,mycorrhizal,inedible,https://en.wikipedia.org/wiki/Lactifluus_vellereus
entoloma sinuatum,"livid entoloma,livid agaric,livid pinkgill,leaden entoloma,lead poisoner",gills,convex,adnate,bare,pink,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Entoloma_sinuatum
suillus granulatus,"weeping bolete,granulated bolete",pores,"flat, convex","adnate, decurrent",bare,brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Suillus_granulatus
caloboletus calopus,"bitter bolete,bitter beech bolete,scarlet-stemmed bolete",pores,convex,adnate,bare,olive-brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Caloboletus_calopus
tricholoma equestre,"tricholoma flavovirens,man on horseback,yellow knight",gills,flat,adnexed,bare,white,mycorrhizal,"not recommended, poisonous",https://en.wikipedia.org/wiki/Tricholoma_equestre
tylopilus felleus,"bitter bolete,bitter tylopilus",pores,convex,adnate,bare,"buff, pink",mycorrhizal,"inedible, edible, unpalatable",https://en.wikipedia.org/wiki/Tylopilus_felleus
paxillus involutus,"brown roll-rim,common roll-rim",gills,depressed,decurrent,bare,brown,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Paxillus_involutus
amanita cokeri,"coker's amanita,solitary lepidella",gills,convex,free,"ring,volva",white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Amanita_cokeri
coprinopsis atramentaria,"common ink cap,tippler's bane,inky cap",gills,ovate,free,bare,blackish-brown,saprotrophic,"edible, poisonous",https://en.wikipedia.org/wiki/Coprinopsis_atramentaria
phlebopus marginatus,salmon gum mushroom,pores,convex,seceding,bare,brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Phlebopus_marginatus
boletus aereus,"dark cep,bronze bolete,queen bolete",pores,convex,adnate,bare,olive-brown,mycorrhizal,choice,https://en.wikipedia.org/wiki/Boletus_aereus
kuehneromyces mutabilis,"pholiota mutabilis,sheathed woodtuft",gills,convex,adnexed,ring,brown,saprotrophic,"choice, not recommended",https://en.wikipedia.org/wiki/Kuehneromyces_mutabilis
chalciporus piperatus,peppery bolete,pores,convex,adnate,bare,brown,parasitic,"edible, inedible",https://en.wikipedia.org/wiki/Chalciporus_piperatus
neoboletus luridiformis,"boletus luridiformis,boletus erythropus,scarletina bolete,red foot bolete,dotted stemmed bolete,dotted stem bolete",pores,convex,adnate,bare,olive-brown,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Neoboletus_luridiformis
leucocoprinus birnbaumii,"flower pot parasol,yellow parasol,flowerpot parasol,plantpot dapperling,flowerpot parasol,plantpot dapperling",gills,"ovate, umbonate",free,ring,white,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Leucocoprinus_birnbaumii
agaricus moelleri,"flat-top agaricus,inky mushroom,dark scaled mushroom",gills,flat,free,ring,brown,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Agaricus_moelleri
amanita calyptroderma,"coccora,coccoli,pacific amanita",gills,"flat, convex",free,"ring,volva",white,mycorrhizal,"choice, not recommended",https://en.wikipedia.org/wiki/Amanita_calyptroderma
mycena sp.,"mycena,bonnets",gills,conical,adnate,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Mycena
leccinum aurantiacum,red-capped scaber stalk,pores,convex,adnate,bare,olive,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Leccinum_aurantiacum
amanita farinosa,"floury amanita,eastern american floury amanita,american floury amanita",gills,"flat, convex",free,bare,white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Amanita_farinosa
hygrophoropsis aurantiaca,false chanterelle,gills,"depressed, infundibuliform",decurrent,bare,"white, cream",saprotrophic,not recommended,https://en.wikipedia.org/wiki/Hygrophoropsis_aurantiaca
boletus reticulatus,"boletus aestivalis,summer cep",pores,convex,adnate,bare,olive,mycorrhizal,choice,https://en.wikipedia.org/wiki/Boletus_reticulatus
gliophorus psittacinus,"parrot toadstool,parrot waxcap",gills,convex,adnate,bare,white,mycorrhizal,edible,https://en.wikipedia.org/wiki/Gliophorus_psittacinus
lactarius turpis,ugly milk-cap,gills,depressed,decurrent,bare,white,mycorrhizal,"edible, not recommended",https://en.wikipedia.org/wiki/Lactarius_turpis
lactarius torminosus,"woolly milkcap,bearded milkcap",gills,"convex, depressed",decurrent,bare,"cream, yellow",mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Lactarius_torminosus
tricholoma argyraceum,none,gills,"convex, flat",adnexed,bare,"white, cream",mycorrhizal,edible,https://en.wikipedia.org/wiki/Tricholoma_argyraceum
tricholoma sulphureum,"stinker,sulphur knight,gas agaric",gills,convex,adnexed,bare,white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Tricholoma_sulphureum
amanita verna,"fool's mushroom,spring destroying angel",gills,"convex, flat",free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_verna
discina gigas,"snow mushroom,snowbank false morel,walnut,giants false morel,snow morel,snow false morel,calf brain,bull nose",smooth,convex,none,bare,"yellow, buff","saprotrophic, mycorrhizal",not recommended,https://en.wikipedia.org/wiki/Discina_gigas
tapinella atrotomentosa,"velvet roll-rim,velvet-footed tap",gills,depressed,decurrent,bare,buff,saprotrophic,inedible,https://en.wikipedia.org/wiki/Tapinella_atrotomentosa
tricholomopsis rutilans,"plums and custard,red-haired agaric",gills,convex,adnate,bare,cream,saprotrophic,unpalatable,https://en.wikipedia.org/wiki/Tricholomopsis_rutilans
gymnopilus junonius,spectacular rustgill,gills,convex,adnate,ring,reddish-brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Gymnopilus_junonius
cortinarius austrovenetus,"dermocybe austroveneta,green skin-head,green dermocybe",gills,convex,adnate,cortina,brown,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Cortinarius_austrovenetus
calocera cornea,none,smooth,none,none,bare,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Calocera_cornea
calvatia booniana,western giant puffball,glebal,none,none,none,"white, brown",saprotrophic,"choice, inedible",https://en.wikipedia.org/wiki/Calvatia_booniana
schizophyllum commune,"gillies,split-gills,split-gill mushroom",gills,none,none,bare,white,"saprotrophic, parasitic",unknown,https://en.wikipedia.org/wiki/Schizophyllum_commune
suillus bovinus,"jersey cow mushroom,bovine bolete",pores,convex,"adnate, decurrent",bare,olive-brown,mycorrhizal,choice,https://en.wikipedia.org/wiki/Suillus_bovinus
psilocybe baeocystis,none,gills,"convex, conical","adnate, sinuate",bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_baeocystis
agaricus arvensis,horse mushroom,gills,convex,free,ring,"brown, blackish-brown",saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_arvensis
tricholoma magnivelare,"matsutake,white matsutake,ponderosa mushroom,pine mushroom,american matsutake",gills,convex,"adnate, adnexed",ring,white,mycorrhizal,choice,https://en.wikipedia.org/wiki/Tricholoma_magnivelare
agaricus campestris,"field mushroom,meadow mushroom",gills,convex,free,bare,brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Agaricus_campestris
galerina marginata,"funeral bell,deadly skullcap,autumn skullcap,deadly galerina",gills,convex,"adnexed, adnate","ring, bare",brown,saprotrophic,deadly,https://en.wikipedia.org/wiki/Galerina_marginata
conocybe rugosa,none,gills,"conical, flat",adnexed,ring,"brown, reddish-brown",saprotrophic,deadly,https://en.wikipedia.org/wiki/Conocybe_rugosa
'candy cap',"l. camphoratus,l. rubidus",gills,"convex, flat",decurrent,bare,"white, yellow",mycorrhizal,choice,https://en.wikipedia.org/wiki/Candy_cap
chroogomphus vinicolor,"wine-cap chroogomphus,pine spike",gills,"convex, depressed","decurrent, adnate","bare, ring",black,"mycorrhizal, parasitic",edible,https://en.wikipedia.org/wiki/Chroogomphus_vinicolor
inocybe aeruginascens,none,gills,"conical, convex","adnate, emarginate",bare,tan,mycorrhizal,psychoactive,https://en.wikipedia.org/wiki/Inocybe_aeruginascens
stropharia rugosoannulata,"wine cap stropharia,garden giant,burgundy mushroom,king stropharia,wine-red stropharia",gills,"convex, flat",adnate,ring,purple-brown,saprotrophic,choice,https://en.wikipedia.org/wiki/Stropharia_rugosoannulata
chlorophyllum molybdites,"green-spored parasol,false parasol,green-spored lepiota,vomiter",gills,flat,free,ring,green,saprotrophic,"not recommended, poisonous",https://en.wikipedia.org/wiki/Chlorophyllum_molybdites
daldinia concentrica,"king alfred's cake,cramp balls,coal fungus",glebal,none,none,none,black,saprotrophic,inedible,https://en.wikipedia.org/wiki/Daldinia_concentrica
conocybe tenera,"brown dunce cap,common cone head",gills,"conical, convex",adnate,bare,brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Conocybe_tenera
conocybula cyanopus,none,gills,"conical, convex",adnate,bare,brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Conocybula_cyanopus
collybia personata,"field blewit,blue-leg",gills,"convex, flat",emarginate,bare,pink,saprotrophic,choice,https://en.wikipedia.org/wiki/Collybia_personata
suillus grevillei,"greville's bolete,tamarack jack,larch bolete",pores,convex,adnate,ring,ochre,mycorrhizal,edible,https://en.wikipedia.org/wiki/Suillus_grevillei
inocybe hystrix,none,gills,"convex, flat",adnate,"bare, cortina",brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Inocybe_hystrix
amanita velosa,"springtime amanita,bittersweet orange ringless amanita",gills,convex,free,volva,white,mycorrhizal,"choice, not recommended",https://en.wikipedia.org/wiki/Amanita_velosa
amanita ocreata,"death angel,destroying angel,angel of death,western north american destroying angel",gills,"convex, flat",free,"ring,volva",white,mycorrhizal,deadly,https://en.wikipedia.org/wiki/Amanita_ocreata
phlegmacium ponderosum,ponderous cortinarius,gills,convex,adnate,bare,yellow,mycorrhizal,not recommended,https://en.wikipedia.org/wiki/Phlegmacium_ponderosum
agaricus subrutilescens,wine-colored agaricus,gills,convex,free,ring,brown,saprotrophic,"edible, not recommended",https://en.wikipedia.org/wiki/Agaricus_subrutilescens
clitocybe dealbata,"ivory funnel,sweating mushroom,sweat producing clitocybe",gills,depressed,adnate,bare,white,saprotrophic,"poisonous, deadly",https://en.wikipedia.org/wiki/Clitocybe_dealbata
leratiomyces ceres,"chip cherry,redlead roundhead,stropharia aurantiaca",gills,"convex, flat",adnate,ring,purple-brown,saprotrophic,poisonous,https://en.wikipedia.org/wiki/Leratiomyces_ceres
rubroboletus pulcherrimus,"boletus pulcherrimus,red-pored bolete",pores,convex,adnate,bare,olive-brown,mycorrhizal,"poisonous, deadly",https://en.wikipedia.org/wiki/Rubroboletus_pulcherrimus
hebeloma crustuliniforme,"poison pie,fairy cakes",gills,umbonate,adnate,bare,brown,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Hebeloma_crustuliniforme
gymnopilus luteofolius,yellow-gilled gymnopilus,gills,convex,adnate,ring,reddish-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Gymnopilus_luteofolius
calvatia craniiformis,"brain puffball,skull-shaped puffball",glebal,none,none,none,"yellow-brown, olive-brown","saprotrophic, mycorrhizal","edible, inedible",https://en.wikipedia.org/wiki/Calvatia_craniiformis
tricholoma pardinum,"spotted tricholoma,tiger tricholoma,tigertop,leopard knight,dirty trich",gills,convex,free,bare,white,mycorrhizal,poisonous,https://en.wikipedia.org/wiki/Tricholoma_pardinum
amanita parvipantherina,asian small panther amanita,gills,convex,free,"ring,volva",white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_parvipantherina
amanita liquii,dark-faced ringless amanita,gills,convex,free,volva,white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_liquii
amanita orientifulva,asian orange-brown ringless amanita,gills,umbonate,free,volva,white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_orientifulva
panaeolus cyanescens,none,gills,convex,adnate,bare,black,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Panaeolus_cyanescens
panaeolus acuminatus,panaeolus rickenii,gills,convex,adnexed,bare,black,saprotrophic,unknown,https://en.wikipedia.org/wiki/Panaeolus_acuminatus
