scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
chlorophyllum agaricoides,"gasteroid lepiota,puffball parasol,false puffball,puffball agaric",glebal,conical,none,bare,olive-brown,saprotrophic,edible,https://en.wikipedia.org/wiki/Chlorophyllum_agaricoides
entoloma sericellum,none,gills,convex,"adnate, adnexed",bare,pink,saprotrophic,"unknown, inedible",https://en.wikipedia.org/wiki/Entoloma_sericellum
hohenbuehelia petaloides,"leaflike oyster,shoehorn oyster mushroom",gills,"convex, depressed",decurrent,bare,white,saprotrophic,edible,https://en.wikipedia.org/wiki/Hohenbuehelia_petaloides
lentinellus ursinus,none,gills,convex,decurrent,bare,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Lentinellus_ursinus
pseudocraterellus undulatus,sinuous chanterelle,ridges,infundibuliform,decurrent,bare,"white, yellow",mycorrhizal,edible,https://en.wikipedia.org/wiki/Pseudocraterellus_undulatus
volvariella leucocalix,none,gills,umbonate,free,volva,salmon,saprotrophic,unknown,https://en.wikipedia.org/wiki/Volvariella_leucocalix
hypsizygus ulmarius,elm oyster mushroom,gills,"convex, depressed","adnate, decurrent",bare,"white, cream","saprotrophic, parasitic",edible,https://en.wikipedia.org/wiki/Hypsizygus_ulmarius
cantharellus enelensis,none,ridges,infundibuliform,decurrent,bare,yellow-orange,mycorrhizal,edible,https://en.wikipedia.org/wiki/Cantharellus_enelensis
psilocybe angulospora,none,gills,"umbonate, campanulate",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_angulospora
psilocybe alutacea,none,gills,"conical, convex",adnate,bare,purple-brown,saprotrophic,psychoactive,https://en.wikipedia.org/wiki/Psilocybe_alutacea
clavogaster virescens,none,glebal,"ovate, conical",none,bare,reddish-brown,saprotrophic,inedible,https://en.wikipedia.org/wiki/Clavogaster_virescens
candolleomyces candolleanus,none,gills,"conical, convex","adnate, seceding","bare, ring",purple-brown,saprotrophic,"edible, not recommended",https://en.wikipedia.org/wiki/Candolleomyces_candolleanus
phaeotremella foliacea,"leafy brain,jelly leaf,brown witch's butter",smooth,none,none,none,white,parasitic,edible,https://en.wikipedia.org/wiki/Phaeotremella_foliacea
plicaturopsis crispa,"crimped gill,crispling",ridges,offset,none,none,white,saprotrophic,inedible,https://en.wikipedia.org/wiki/Plicaturopsis_crispa
panus fasciatus,none,gills,infundibuliform,decurrent,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Panus_fasciatus
crepidotus praecipuus,rusty-gilled conch,gills,convex,free,none,yellow-brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Crepidotus_praecipuus
